metric_id,指标名称,分类,单位,频率,说明,主要来源
gdp_growth,实际GDP增速,增长与需求,%,年度,按不变价格计算的经济总量同比增速。,国家统计局年度国民经济和社会发展统计公报
industry_growth,全部工业增加值增速,增长与需求,%,年度,工业生产活动的年度同比变化。,国家统计局年度国民经济和社会发展统计公报
retail_growth,社会消费品零售总额增速,增长与需求,%,年度,商品消费和餐饮收入的名义同比变化。,国家统计局年度国民经济和社会发展统计公报
fixed_asset_investment_growth,全社会固定资产投资增速,增长与需求,%,年度,投资需求的名义同比变化。,国家统计局年度国民经济和社会发展统计公报
real_estate_investment_growth,房地产开发投资增速,房地产,%,年度,房地产开发投资的名义同比变化。,国家统计局年度国民经济和社会发展统计公报
real_income_growth,居民人均可支配收入实际增速,就业与收入,%,年度,居民收入扣除价格因素后的实际增速。,国家统计局年度国民经济和社会发展统计公报
new_urban_jobs,城镇新增就业,就业与收入,万人,年度,全年城镇累计新增就业人数。,国家统计局年度国民经济和社会发展统计公报
survey_unemployment,年末城镇调查失业率,就业与收入,%,年度,同口径序列从2018年开始；2016—2017年不以登记失业率替代。,国家统计局年度国民经济和社会发展统计公报
cpi,居民消费价格（CPI）涨幅,物价,%,年度,全年居民消费价格相对上年的变化。,国家统计局年度国民经济和社会发展统计公报
ppi,工业生产者出厂价格（PPI）涨幅,物价,%,年度,全年工业生产者出厂价格相对上年的变化。,国家统计局年度国民经济和社会发展统计公报
m2_growth,年末M2增速,货币与信用,%,年度,年末广义货币供应量余额同比增速。,国家统计局年度国民经济和社会发展统计公报
tsf_increment,社会融资规模增量,货币与信用,万亿元,年度,全年实体经济从金融体系获得的新增资金总额。,国家统计局年度国民经济和社会发展统计公报
fiscal_revenue_growth,一般公共预算收入增速,财政,%,年度,全国一般公共预算收入的名义同比变化。,国家统计局年度国民经济和社会发展统计公报
trade_growth,货物进出口总额增速,外部部门,%,年度,以人民币计价的货物进出口总额同比变化。,国家统计局年度国民经济和社会发展统计公报
export_growth,货物出口增速,外部部门,%,年度,以人民币计价的货物出口同比变化。,国家统计局年度国民经济和社会发展统计公报
import_growth,货物进口增速,外部部门,%,年度,以人民币计价的货物进口同比变化。,国家统计局年度国民经济和社会发展统计公报
fx_reserves,年末国家外汇储备,外部部门,亿美元,年度,年末官方外汇储备余额。,国家统计局年度国民经济和社会发展统计公报
cny_usd,人民币平均汇率,外部部门,人民币/美元,年度,全年1美元兑换人民币的平均汇率；数值上升表示人民币对美元均价走弱。,国家统计局年度国民经济和社会发展统计公报
